('WY08', '200109091209')
('S69', '200109091209')
('LNK', '200110131730')
('FLD', '200110041305')
('SOW', '200108191750')
('ECG', '200110241415')
('X44', '20011013755')
('49KS', '200110141957')
('09IA', '200110141957')
('PPO', '200110141957')
('T41', '200109091053')
('IND', '200109221330')
('OI96', '200111081230')
('0IN4', '200109011850')
('L22', '20010909510')
('13MA', '200111071245')
('EDU', '200111071245')
('SXQ', '200111071245')
('NY90', '200111071245')
('LEE', '200111071245')
('AR86', '200111041115')
('MO39', '2001101115')
('WI14', '200109231745')
('7AK8', '200109051430')
('6TX8', '200108181855')
('FMY', '20010826824')
('CL51', '200111031300')
('LWA', '200111031500')
('MSL', '200109031415')
('3M8', '20010902830')
('LL25', '200109052030')
('SLC', '200111071130')
('KNW', '200109021045')
('NK41', '200108221800')
('OI96', '200108241300')
('CO82', '200109031030')
('HXD', '20010818805')
('K43', '200110301200')
('K49', '200108281432')
('3M3', '20010830339')
('OWD', '200110251500')
('15LA', '200110111500')
('CO82', '20010927900')
('SNC', '20011022105')
('DHN', '20010819420')
('IL54', '20010821930')
('08R', '200108161030')
('MI85', '20011116154')
('TPF', '200110291440')
('ID52', '20010907145')
('LOU', '200109281620')
('B10', '200111201500')
('3U3', '20020126915')
('63OI', '200201151450')
('ELP', '200201051703')
('CPS', '20020223805')
('MDW', '200201042158')
('H37', '20011118950')
('HEG', '20020309945')
('SAR', '200201091820')
('20LS', '20020203805')
('ME96', '200201201345')
('ME94', '2002011824')
('1N7', '200202151330')
('AZ81', '200112021500')
('I04', '200111221341')
('HFY', '200202161733')
('CL74', '200112061845')
('11TX', '200201241813')
('WY19', '200202241600')
('MU41', '200202281652')
('SFQ', '20020302924')
('29IL', '200112031802')
('35II', '200201161315')
('6NC4', '200111191100')
('81OI', '200202201730')
('AK73', '20020112900')
('MU05', '200201271400')
('CA82', '20011218845')
('48I', '200202022034')
('TNP', '200202022034')
('ELP', '200202022034')
('LBX', '200202022034')
('AGO', '200202022034')
('SLC', '200202022034')
('61B', '200202022034')
('CO82', '200202022034')
('LNA', '200202022034')
('FIT', '200201121500')
('LA22', '200112181456')
('DYB', '200111181627')
('45TS', '20011126312')
('4MN3', '20011126312')
('9S9', '200111171730')
('D85', '200201101054')
('00V', '20020128850')
('TOL', '200112122330')
('MU41', '200204271406')
('0FD6', '20020410510')
('1M7', '200204021800')
('ANP', '200205091125')
('SD83', '200204041530')
('W27', '200204171600')
('31OH', '200203141632')
('AR59', '2002042420')
('WI65', '200205161035')
('SLC', '20020520700')
('MT81', '20020520700')
('1TA7', '20020520700')
('49KS', '20020520700')
('SBM', '20020608800')
('EFD', '200205301330')
('59TX', '200204041630')
('FXE', '20020522920')
('AUS', '200204111215')
('CO82', '20020413826')
('FUL', '200204241100')
('AID', '200204241100')
('T65', '200204241100')
('ROA', '200204241100')
('MU41', '200204241100')
('OI96', '200204241100')
('0C8', '200204191636')
('SEF', '200204111145')
('WYS', '200206081535')
('MU41', '200206081535')
('CD13', '200206081535')
('GE00', '200206081535')
('OL23', '200205301420')
('PS56', '200205231620')
('8NA7', '200205171303')
('ID52', '20020513950')
('LOU', '200205041630')
('B10', '200204061010')
('3U3', '200204021305')
('63OI', '200204191804')
('GNV', '200203271545')
('2GE6', '20020511815')
('1OR1', '200204291930')
('AVP', '200205311715')
('MU41', '200205111215')
('WVI', '200205241520')
('9N3', '200203301415')
('SPB', '200208021400')
('2F6', '200207301030')
('IGQ', '200206141313')
('MY72', '20020725700')
('09S', '200207161100')
('BID', '200207161100')
('8U2', '200207121835')
('79IL', '200207121835')
('3LL0', '20020804845')
('C40', '20020808900')
('IN53', '20020620821')
('9KS7', '20020620821')
('MO99', '20020711849')
('4G3', '200207121550')
('OI59', '200206121348')
('PN56', '200208091500')
('91VA', '200207221440')
('0I2', '200207091307')
('CO05', '200206272014')
('HKA', '200207141000')
('HRI', '200206111030')
('Y98', '200206111030')
('AID', '20020810946')
('MU41', '20020624900')
('I04', '200208211535')
('3O8', '200208051300')
('2XS1', '200208051300')
('MU41', '200208051300')
('IMT', '200208051300')
('CRQ', '200208051300')
('K43', '200208051300')
('K49', '200208051300')
('AVO', '200208051300')
('K43', '200208051300')
('K49', '200208182045')
('MU41', '200207101600')
('4GA8', '200208151545')
('70MO', '20020704730')
('MU41', '200208021030')
('4SD', '200207132235')
('ALO', '200208181515')
('L61', '200211111445')
('ADS', '200211212037')
('HNL', '200210011600')
('0U2', '200209061115')
('3FL8', '20021031950')
('3R4', '20021031950')
('9NY7', '20021031950')
('CT89', '20021031950')
('CT89', '20021031950')
('OSU', '20021031950')
('MU41', '20021031950')
('1IA5', '20021031950')
('SAC', '20021031950')
('RNO', '20021031950')
('TCM', '20021031950')
('IN33', '20021031950')
('A29', '20021031950')
('0IN2', '20021031950')
('SN77', '200209231400')
('6TA3', '200209231400')
('MU41', '200209061045')
('SPB', '200211041735')
('OLV', '20021114830')
('3VS', '20021017850')
('ID62', '200210171100')
('LS49', '200210161509')
('NE09', '200210201430')
('9W3', '200209041940')
('WHP', '20021106620')
('A26', '200211221345')
('CGA', '200210221945')
('CO21', '200209151414')
('86OK', '200209151414')
('LA30', '20020924830')
('CA82', '2002112245')
('PAO', '200210271010')
('MO08', '20021021900')
('33N', '200209201730')
('DE31', '200209071830')
('GRE', '200209251150')
('52B', '200208281145')
